Year,data
1995,28.08901213
1996,29.95043283
1997,27.4731842
1998,26.58335421
1999,23.62992987
2000,24.00145441
2001,22.91085332
2002,24.29006171
2003,26.64724286
2004,23.45049824
2005,24.56434661
2006,20.528636
2007,17.58104857
2008,23.62354801
2009,26.47364873
2010,23.85454963
2011,24.03880113
